lat,lon,validdate,t_2m:C,precip_1h:mm
1.5,-78.5,2024-10-05 00:00:00+00:00,24.0,0.18
1.5,-78.5,2024-10-05 12:00:00+00:00,23.0,0.0
1.5,-78.5,2024-10-06 00:00:00+00:00,24.5,0.24
1.5,-78.5,2024-10-06 12:00:00+00:00,22.6,0.2
1.5,-78.5,2024-10-07 00:00:00+00:00,24.4,0.28
1.5,-78.5,2024-10-07 12:00:00+00:00,22.5,0.18
1.5,-78.5,2024-10-08 00:00:00+00:00,24.5,0.0
1.5,-78.5,2024-10-08 12:00:00+00:00,21.6,0.11
1.5,-78.5,2024-10-09 00:00:00+00:00,23.5,0.0
1.5,-78.5,2024-10-09 12:00:00+00:00,22.4,0.0
1.5,-78.5,2024-10-10 00:00:00+00:00,24.4,0.0
1.5,-78.5,2024-10-10 12:00:00+00:00,22.3,2.67
1.5,-78.5,2024-10-11 00:00:00+00:00,24.2,0.0
1.5,-78.5,2024-10-11 12:00:00+00:00,22.7,0.78
1.5,-78.5,2024-10-12 00:00:00+00:00,24.0,1.11
1.5,-78.5,2024-10-12 12:00:00+00:00,22.7,1.18
1.5,-78.5,2024-10-13 00:00:00+00:00,24.7,0.0
1.5,-78.5,2024-10-13 12:00:00+00:00,23.1,0.19
1.5,-78.5,2024-10-14 00:00:00+00:00,24.6,0.44
1.5,-78.5,2024-10-14 12:00:00+00:00,23.1,0.2
1.5,-78.5,2024-10-15 00:00:00+00:00,24.0,0.77
1.5,-78.0,2024-10-05 00:00:00+00:00,22.1,0.85
1.5,-78.0,2024-10-05 12:00:00+00:00,21.5,0.0
1.5,-78.0,2024-10-06 00:00:00+00:00,22.0,1.12
1.5,-78.0,2024-10-06 12:00:00+00:00,21.5,0.55
1.5,-78.0,2024-10-07 00:00:00+00:00,22.0,0.8
1.5,-78.0,2024-10-07 12:00:00+00:00,21.8,0.0
1.5,-78.0,2024-10-08 00:00:00+00:00,22.2,2.46
1.5,-78.0,2024-10-08 12:00:00+00:00,20.5,2.06
1.5,-78.0,2024-10-09 00:00:00+00:00,22.5,0.26
1.5,-78.0,2024-10-09 12:00:00+00:00,21.1,0.16
1.5,-78.0,2024-10-10 00:00:00+00:00,22.4,1.02
1.5,-78.0,2024-10-10 12:00:00+00:00,20.8,1.35
1.5,-78.0,2024-10-11 00:00:00+00:00,22.2,2.14
1.5,-78.0,2024-10-11 12:00:00+00:00,21.7,0.53
1.5,-78.0,2024-10-12 00:00:00+00:00,22.2,2.85
1.5,-78.0,2024-10-12 12:00:00+00:00,20.9,0.0
1.5,-78.0,2024-10-13 00:00:00+00:00,22.6,0.3
1.5,-78.0,2024-10-13 12:00:00+00:00,21.7,0.19
1.5,-78.0,2024-10-14 00:00:00+00:00,22.9,0.5
1.5,-78.0,2024-10-14 12:00:00+00:00,21.8,0.0
1.5,-78.0,2024-10-15 00:00:00+00:00,22.5,1.06
1.5,-77.5,2024-10-05 00:00:00+00:00,21.1,1.47
1.5,-77.5,2024-10-05 12:00:00+00:00,20.3,0.0
1.5,-77.5,2024-10-06 00:00:00+00:00,21.9,1.93
1.5,-77.5,2024-10-06 12:00:00+00:00,21.0,0.0
1.5,-77.5,2024-10-07 00:00:00+00:00,21.4,5.51
1.5,-77.5,2024-10-07 12:00:00+00:00,20.1,0.0
1.5,-77.5,2024-10-08 00:00:00+00:00,21.2,5.07
1.5,-77.5,2024-10-08 12:00:00+00:00,20.4,0.93
1.5,-77.5,2024-10-09 00:00:00+00:00,21.4,0.56
1.5,-77.5,2024-10-09 12:00:00+00:00,20.2,0.0
1.5,-77.5,2024-10-10 00:00:00+00:00,22.0,0.88
1.5,-77.5,2024-10-10 12:00:00+00:00,20.2,0.48
1.5,-77.5,2024-10-11 00:00:00+00:00,21.7,3.74
1.5,-77.5,2024-10-11 12:00:00+00:00,20.7,0.46
1.5,-77.5,2024-10-12 00:00:00+00:00,21.2,1.97
1.5,-77.5,2024-10-12 12:00:00+00:00,19.8,0.0
1.5,-77.5,2024-10-13 00:00:00+00:00,22.3,0.0
1.5,-77.5,2024-10-13 12:00:00+00:00,20.0,0.0
1.5,-77.5,2024-10-14 00:00:00+00:00,22.5,0.17
1.5,-77.5,2024-10-14 12:00:00+00:00,19.8,0.0
1.5,-77.5,2024-10-15 00:00:00+00:00,22.4,0.38
1.5,-77.0,2024-10-05 00:00:00+00:00,13.0,0.0
1.5,-77.0,2024-10-05 12:00:00+00:00,12.1,0.0
1.5,-77.0,2024-10-06 00:00:00+00:00,13.4,0.0
1.5,-77.0,2024-10-06 12:00:00+00:00,11.4,0.0
1.5,-77.0,2024-10-07 00:00:00+00:00,11.7,0.0
1.5,-77.0,2024-10-07 12:00:00+00:00,12.0,0.0
1.5,-77.0,2024-10-08 00:00:00+00:00,13.0,1.2
1.5,-77.0,2024-10-08 12:00:00+00:00,12.2,0.34
1.5,-77.0,2024-10-09 00:00:00+00:00,12.5,0.16
1.5,-77.0,2024-10-09 12:00:00+00:00,12.3,0.0
1.5,-77.0,2024-10-10 00:00:00+00:00,12.7,0.0
1.5,-77.0,2024-10-10 12:00:00+00:00,12.4,0.2
1.5,-77.0,2024-10-11 00:00:00+00:00,12.1,0.0
1.5,-77.0,2024-10-11 12:00:00+00:00,11.8,0.0
1.5,-77.0,2024-10-12 00:00:00+00:00,13.1,1.75
1.5,-77.0,2024-10-12 12:00:00+00:00,11.8,0.0
1.5,-77.0,2024-10-13 00:00:00+00:00,13.4,0.0
1.5,-77.0,2024-10-13 12:00:00+00:00,11.8,0.0
1.5,-77.0,2024-10-14 00:00:00+00:00,13.0,0.0
1.5,-77.0,2024-10-14 12:00:00+00:00,12.6,0.0
1.5,-77.0,2024-10-15 00:00:00+00:00,13.0,0.0
1.5,-76.5,2024-10-05 00:00:00+00:00,16.8,0.0
1.5,-76.5,2024-10-05 12:00:00+00:00,15.6,0.0
1.5,-76.5,2024-10-06 00:00:00+00:00,17.1,0.11
1.5,-76.5,2024-10-06 12:00:00+00:00,15.9,0.0
1.5,-76.5,2024-10-07 00:00:00+00:00,16.3,0.25
1.5,-76.5,2024-10-07 12:00:00+00:00,16.7,0.0
1.5,-76.5,2024-10-08 00:00:00+00:00,18.3,0.0
1.5,-76.5,2024-10-08 12:00:00+00:00,16.7,0.0
1.5,-76.5,2024-10-09 00:00:00+00:00,16.2,0.0
1.5,-76.5,2024-10-09 12:00:00+00:00,17.3,0.11
1.5,-76.5,2024-10-10 00:00:00+00:00,17.1,0.0
1.5,-76.5,2024-10-10 12:00:00+00:00,17.2,0.32
1.5,-76.5,2024-10-11 00:00:00+00:00,16.9,0.93
1.5,-76.5,2024-10-11 12:00:00+00:00,17.6,0.0
1.5,-76.5,2024-10-12 00:00:00+00:00,17.2,0.4
1.5,-76.5,2024-10-12 12:00:00+00:00,16.9,0.0
1.5,-76.5,2024-10-13 00:00:00+00:00,15.9,0.0
1.5,-76.5,2024-10-13 12:00:00+00:00,15.6,0.0
1.5,-76.5,2024-10-14 00:00:00+00:00,15.5,0.13
1.5,-76.5,2024-10-14 12:00:00+00:00,14.8,0.0
1.5,-76.5,2024-10-15 00:00:00+00:00,18.1,0.13
1.5,-76.0,2024-10-05 00:00:00+00:00,18.7,0.0
1.5,-76.0,2024-10-05 12:00:00+00:00,18.0,0.0
1.5,-76.0,2024-10-06 00:00:00+00:00,18.7,0.0
1.5,-76.0,2024-10-06 12:00:00+00:00,18.2,0.0
1.5,-76.0,2024-10-07 00:00:00+00:00,18.7,0.0
1.5,-76.0,2024-10-07 12:00:00+00:00,18.7,0.0
1.5,-76.0,2024-10-08 00:00:00+00:00,18.7,0.19
1.5,-76.0,2024-10-08 12:00:00+00:00,19.2,0.0
1.5,-76.0,2024-10-09 00:00:00+00:00,18.8,0.26
1.5,-76.0,2024-10-09 12:00:00+00:00,18.5,0.0
1.5,-76.0,2024-10-10 00:00:00+00:00,18.9,0.61
1.5,-76.0,2024-10-10 12:00:00+00:00,18.8,0.0
1.5,-76.0,2024-10-11 00:00:00+00:00,18.9,0.0
1.5,-76.0,2024-10-11 12:00:00+00:00,19.2,0.0
1.5,-76.0,2024-10-12 00:00:00+00:00,18.6,0.14
1.5,-76.0,2024-10-12 12:00:00+00:00,19.3,0.0
1.5,-76.0,2024-10-13 00:00:00+00:00,19.0,0.0
1.5,-76.0,2024-10-13 12:00:00+00:00,18.9,0.0
1.5,-76.0,2024-10-14 00:00:00+00:00,18.7,0.12
1.5,-76.0,2024-10-14 12:00:00+00:00,18.7,0.0
1.5,-76.0,2024-10-15 00:00:00+00:00,18.3,0.33
1.5,-75.5,2024-10-05 00:00:00+00:00,25.3,0.0
1.5,-75.5,2024-10-05 12:00:00+00:00,24.0,0.0
1.5,-75.5,2024-10-06 00:00:00+00:00,26.6,0.0
1.5,-75.5,2024-10-06 12:00:00+00:00,23.1,0.0
1.5,-75.5,2024-10-07 00:00:00+00:00,25.8,0.0
1.5,-75.5,2024-10-07 12:00:00+00:00,23.3,0.0
1.5,-75.5,2024-10-08 00:00:00+00:00,26.8,0.0
1.5,-75.5,2024-10-08 12:00:00+00:00,23.1,0.0
1.5,-75.5,2024-10-09 00:00:00+00:00,26.0,0.0
1.5,-75.5,2024-10-09 12:00:00+00:00,23.3,0.0
1.5,-75.5,2024-10-10 00:00:00+00:00,25.9,0.0
1.5,-75.5,2024-10-10 12:00:00+00:00,23.2,0.0
1.5,-75.5,2024-10-11 00:00:00+00:00,25.5,0.0
1.5,-75.5,2024-10-11 12:00:00+00:00,24.0,0.16
1.5,-75.5,2024-10-12 00:00:00+00:00,25.3,0.0
1.5,-75.5,2024-10-12 12:00:00+00:00,23.7,0.0
1.5,-75.5,2024-10-13 00:00:00+00:00,26.2,0.0
1.5,-75.5,2024-10-13 12:00:00+00:00,23.0,0.9
1.5,-75.5,2024-10-14 00:00:00+00:00,25.8,0.0
1.5,-75.5,2024-10-14 12:00:00+00:00,23.0,0.73
1.5,-75.5,2024-10-15 00:00:00+00:00,24.5,0.56
2.0,-78.5,2024-10-05 00:00:00+00:00,24.9,0.35
2.0,-78.5,2024-10-05 12:00:00+00:00,24.1,0.0
2.0,-78.5,2024-10-06 00:00:00+00:00,25.4,0.0
2.0,-78.5,2024-10-06 12:00:00+00:00,23.2,0.35
2.0,-78.5,2024-10-07 00:00:00+00:00,24.9,0.0
2.0,-78.5,2024-10-07 12:00:00+00:00,23.9,0.0
2.0,-78.5,2024-10-08 00:00:00+00:00,25.2,0.0
2.0,-78.5,2024-10-08 12:00:00+00:00,23.5,0.0
2.0,-78.5,2024-10-09 00:00:00+00:00,24.6,0.0
2.0,-78.5,2024-10-09 12:00:00+00:00,24.0,0.0
2.0,-78.5,2024-10-10 00:00:00+00:00,25.3,0.0
2.0,-78.5,2024-10-10 12:00:00+00:00,22.8,1.81
2.0,-78.5,2024-10-11 00:00:00+00:00,24.6,0.0
2.0,-78.5,2024-10-11 12:00:00+00:00,24.0,0.33
2.0,-78.5,2024-10-12 00:00:00+00:00,25.1,0.11
2.0,-78.5,2024-10-12 12:00:00+00:00,23.3,2.08
2.0,-78.5,2024-10-13 00:00:00+00:00,25.2,0.0
2.0,-78.5,2024-10-13 12:00:00+00:00,23.8,0.18
2.0,-78.5,2024-10-14 00:00:00+00:00,25.8,0.11
2.0,-78.5,2024-10-14 12:00:00+00:00,23.7,0.1
2.0,-78.5,2024-10-15 00:00:00+00:00,25.5,0.0
2.0,-78.0,2024-10-05 00:00:00+00:00,23.8,4.84
2.0,-78.0,2024-10-05 12:00:00+00:00,23.0,0.0
2.0,-78.0,2024-10-06 00:00:00+00:00,23.2,2.1
2.0,-78.0,2024-10-06 12:00:00+00:00,22.5,1.56
2.0,-78.0,2024-10-07 00:00:00+00:00,24.3,1.57
2.0,-78.0,2024-10-07 12:00:00+00:00,23.1,0.24
2.0,-78.0,2024-10-08 00:00:00+00:00,24.2,1.18
2.0,-78.0,2024-10-08 12:00:00+00:00,22.2,2.26
2.0,-78.0,2024-10-09 00:00:00+00:00,24.6,0.22
2.0,-78.0,2024-10-09 12:00:00+00:00,22.8,0.23
2.0,-78.0,2024-10-10 00:00:00+00:00,23.9,1.29
2.0,-78.0,2024-10-10 12:00:00+00:00,22.5,2.43
2.0,-78.0,2024-10-11 00:00:00+00:00,24.3,0.81
2.0,-78.0,2024-10-11 12:00:00+00:00,23.4,0.0
2.0,-78.0,2024-10-12 00:00:00+00:00,24.0,2.07
2.0,-78.0,2024-10-12 12:00:00+00:00,23.0,4.76
2.0,-78.0,2024-10-13 00:00:00+00:00,25.1,0.0
2.0,-78.0,2024-10-13 12:00:00+00:00,23.5,0.11
2.0,-78.0,2024-10-14 00:00:00+00:00,24.7,0.46
2.0,-78.0,2024-10-14 12:00:00+00:00,23.4,0.12
2.0,-78.0,2024-10-15 00:00:00+00:00,24.2,2.23
2.0,-77.5,2024-10-05 00:00:00+00:00,20.9,4.76
2.0,-77.5,2024-10-05 12:00:00+00:00,20.9,0.0
2.0,-77.5,2024-10-06 00:00:00+00:00,21.4,0.11
2.0,-77.5,2024-10-06 12:00:00+00:00,20.8,0.12
2.0,-77.5,2024-10-07 00:00:00+00:00,20.9,0.0
2.0,-77.5,2024-10-07 12:00:00+00:00,20.7,0.0
2.0,-77.5,2024-10-08 00:00:00+00:00,21.0,1.48
2.0,-77.5,2024-10-08 12:00:00+00:00,20.1,6.28
2.0,-77.5,2024-10-09 00:00:00+00:00,21.5,0.34
2.0,-77.5,2024-10-09 12:00:00+00:00,20.1,2.58
2.0,-77.5,2024-10-10 00:00:00+00:00,21.2,0.85
2.0,-77.5,2024-10-10 12:00:00+00:00,20.4,1.29
2.0,-77.5,2024-10-11 00:00:00+00:00,21.1,0.38
2.0,-77.5,2024-10-11 12:00:00+00:00,20.7,0.0
2.0,-77.5,2024-10-12 00:00:00+00:00,21.1,1.29
2.0,-77.5,2024-10-12 12:00:00+00:00,21.1,0.0
2.0,-77.5,2024-10-13 00:00:00+00:00,21.9,0.66
2.0,-77.5,2024-10-13 12:00:00+00:00,21.1,0.39
2.0,-77.5,2024-10-14 00:00:00+00:00,21.8,0.79
2.0,-77.5,2024-10-14 12:00:00+00:00,21.0,0.49
2.0,-77.5,2024-10-15 00:00:00+00:00,21.5,0.75
2.0,-77.0,2024-10-05 00:00:00+00:00,22.9,0.0
2.0,-77.0,2024-10-05 12:00:00+00:00,21.6,0.0
2.0,-77.0,2024-10-06 00:00:00+00:00,22.6,0.8
2.0,-77.0,2024-10-06 12:00:00+00:00,21.5,0.29
2.0,-77.0,2024-10-07 00:00:00+00:00,21.9,0.13
2.0,-77.0,2024-10-07 12:00:00+00:00,21.9,0.34
2.0,-77.0,2024-10-08 00:00:00+00:00,22.2,1.55
2.0,-77.0,2024-10-08 12:00:00+00:00,21.0,1.77
2.0,-77.0,2024-10-09 00:00:00+00:00,23.0,0.36
2.0,-77.0,2024-10-09 12:00:00+00:00,21.1,1.64
2.0,-77.0,2024-10-10 00:00:00+00:00,23.0,0.37
2.0,-77.0,2024-10-10 12:00:00+00:00,21.4,3.15
2.0,-77.0,2024-10-11 00:00:00+00:00,21.3,0.6
2.0,-77.0,2024-10-11 12:00:00+00:00,21.9,0.0
2.0,-77.0,2024-10-12 00:00:00+00:00,21.4,1.47
2.0,-77.0,2024-10-12 12:00:00+00:00,22.1,0.0
2.0,-77.0,2024-10-13 00:00:00+00:00,25.0,0.0
2.0,-77.0,2024-10-13 12:00:00+00:00,22.1,0.16
2.0,-77.0,2024-10-14 00:00:00+00:00,23.9,0.0
2.0,-77.0,2024-10-14 12:00:00+00:00,21.5,0.0
2.0,-77.0,2024-10-15 00:00:00+00:00,23.7,1.46
2.0,-76.5,2024-10-05 00:00:00+00:00,11.6,0.0
2.0,-76.5,2024-10-05 12:00:00+00:00,11.1,0.0
2.0,-76.5,2024-10-06 00:00:00+00:00,11.1,0.0
2.0,-76.5,2024-10-06 12:00:00+00:00,11.6,0.0
2.0,-76.5,2024-10-07 00:00:00+00:00,11.8,0.0
2.0,-76.5,2024-10-07 12:00:00+00:00,11.4,0.0
2.0,-76.5,2024-10-08 00:00:00+00:00,12.2,0.68
2.0,-76.5,2024-10-08 12:00:00+00:00,12.0,0.0
2.0,-76.5,2024-10-09 00:00:00+00:00,11.3,0.19
2.0,-76.5,2024-10-09 12:00:00+00:00,11.4,0.75
2.0,-76.5,2024-10-10 00:00:00+00:00,12.5,0.0
2.0,-76.5,2024-10-10 12:00:00+00:00,11.6,0.19
2.0,-76.5,2024-10-11 00:00:00+00:00,12.7,0.2
2.0,-76.5,2024-10-11 12:00:00+00:00,11.9,0.0
2.0,-76.5,2024-10-12 00:00:00+00:00,11.9,0.52
2.0,-76.5,2024-10-12 12:00:00+00:00,11.6,0.0
2.0,-76.5,2024-10-13 00:00:00+00:00,10.7,0.33
2.0,-76.5,2024-10-13 12:00:00+00:00,11.6,0.0
2.0,-76.5,2024-10-14 00:00:00+00:00,9.6,0.16
2.0,-76.5,2024-10-14 12:00:00+00:00,11.7,0.0
2.0,-76.5,2024-10-15 00:00:00+00:00,10.6,0.46
2.0,-76.0,2024-10-05 00:00:00+00:00,21.4,0.0
2.0,-76.0,2024-10-05 12:00:00+00:00,21.2,0.0
2.0,-76.0,2024-10-06 00:00:00+00:00,21.5,0.0
2.0,-76.0,2024-10-06 12:00:00+00:00,21.3,0.0
2.0,-76.0,2024-10-07 00:00:00+00:00,21.8,0.0
2.0,-76.0,2024-10-07 12:00:00+00:00,21.6,0.0
2.0,-76.0,2024-10-08 00:00:00+00:00,22.7,0.0
2.0,-76.0,2024-10-08 12:00:00+00:00,21.4,0.0
2.0,-76.0,2024-10-09 00:00:00+00:00,22.6,0.0
2.0,-76.0,2024-10-09 12:00:00+00:00,21.3,0.24
2.0,-76.0,2024-10-10 00:00:00+00:00,22.9,0.0
2.0,-76.0,2024-10-10 12:00:00+00:00,21.6,0.0
2.0,-76.0,2024-10-11 00:00:00+00:00,22.2,0.0
2.0,-76.0,2024-10-11 12:00:00+00:00,21.8,0.0
2.0,-76.0,2024-10-12 00:00:00+00:00,22.0,0.61
2.0,-76.0,2024-10-12 12:00:00+00:00,21.5,0.0
2.0,-76.0,2024-10-13 00:00:00+00:00,22.5,0.0
2.0,-76.0,2024-10-13 12:00:00+00:00,21.8,0.0
2.0,-76.0,2024-10-14 00:00:00+00:00,22.3,0.14
2.0,-76.0,2024-10-14 12:00:00+00:00,22.1,0.0
2.0,-76.0,2024-10-15 00:00:00+00:00,22.4,0.0
2.0,-75.5,2024-10-05 00:00:00+00:00,16.8,0.0
2.0,-75.5,2024-10-05 12:00:00+00:00,17.8,0.0
2.0,-75.5,2024-10-06 00:00:00+00:00,16.3,0.0
2.0,-75.5,2024-10-06 12:00:00+00:00,17.8,0.0
2.0,-75.5,2024-10-07 00:00:00+00:00,16.8,0.0
2.0,-75.5,2024-10-07 12:00:00+00:00,17.9,0.0
2.0,-75.5,2024-10-08 00:00:00+00:00,16.9,0.0
2.0,-75.5,2024-10-08 12:00:00+00:00,18.2,0.0
2.0,-75.5,2024-10-09 00:00:00+00:00,17.0,0.0
2.0,-75.5,2024-10-09 12:00:00+00:00,17.5,0.0
2.0,-75.5,2024-10-10 00:00:00+00:00,17.3,0.0
2.0,-75.5,2024-10-10 12:00:00+00:00,17.5,0.0
2.0,-75.5,2024-10-11 00:00:00+00:00,17.6,0.27
2.0,-75.5,2024-10-11 12:00:00+00:00,18.1,0.0
2.0,-75.5,2024-10-12 00:00:00+00:00,16.9,0.0
2.0,-75.5,2024-10-12 12:00:00+00:00,17.5,0.0
2.0,-75.5,2024-10-13 00:00:00+00:00,16.0,0.0
2.0,-75.5,2024-10-13 12:00:00+00:00,18.3,0.0
2.0,-75.5,2024-10-14 00:00:00+00:00,15.9,0.0
2.0,-75.5,2024-10-14 12:00:00+00:00,18.0,0.0
2.0,-75.5,2024-10-15 00:00:00+00:00,16.6,0.15
2.5,-78.5,2024-10-05 00:00:00+00:00,25.7,0.19
2.5,-78.5,2024-10-05 12:00:00+00:00,24.6,0.0
2.5,-78.5,2024-10-06 00:00:00+00:00,26.1,0.0
2.5,-78.5,2024-10-06 12:00:00+00:00,23.6,12.84
2.5,-78.5,2024-10-07 00:00:00+00:00,25.7,0.0
2.5,-78.5,2024-10-07 12:00:00+00:00,25.0,0.0
2.5,-78.5,2024-10-08 00:00:00+00:00,25.9,0.0
2.5,-78.5,2024-10-08 12:00:00+00:00,24.8,0.0
2.5,-78.5,2024-10-09 00:00:00+00:00,25.6,0.0
2.5,-78.5,2024-10-09 12:00:00+00:00,25.1,0.0
2.5,-78.5,2024-10-10 00:00:00+00:00,25.4,0.11
2.5,-78.5,2024-10-10 12:00:00+00:00,24.3,0.73
2.5,-78.5,2024-10-11 00:00:00+00:00,25.6,0.0
2.5,-78.5,2024-10-11 12:00:00+00:00,24.5,0.13
2.5,-78.5,2024-10-12 00:00:00+00:00,25.9,0.0
2.5,-78.5,2024-10-12 12:00:00+00:00,24.3,1.19
2.5,-78.5,2024-10-13 00:00:00+00:00,25.2,0.0
2.5,-78.5,2024-10-13 12:00:00+00:00,24.7,1.58
2.5,-78.5,2024-10-14 00:00:00+00:00,25.8,0.0
2.5,-78.5,2024-10-14 12:00:00+00:00,24.0,2.61
2.5,-78.5,2024-10-15 00:00:00+00:00,26.1,0.0
2.5,-78.0,2024-10-05 00:00:00+00:00,23.6,0.45
2.5,-78.0,2024-10-05 12:00:00+00:00,23.0,0.0
2.5,-78.0,2024-10-06 00:00:00+00:00,23.9,0.15
2.5,-78.0,2024-10-06 12:00:00+00:00,22.5,1.4
2.5,-78.0,2024-10-07 00:00:00+00:00,24.8,0.13
2.5,-78.0,2024-10-07 12:00:00+00:00,23.5,0.0
2.5,-78.0,2024-10-08 00:00:00+00:00,24.1,0.53
2.5,-78.0,2024-10-08 12:00:00+00:00,22.6,1.76
2.5,-78.0,2024-10-09 00:00:00+00:00,24.7,0.0
2.5,-78.0,2024-10-09 12:00:00+00:00,23.9,0.0
2.5,-78.0,2024-10-10 00:00:00+00:00,24.6,0.22
2.5,-78.0,2024-10-10 12:00:00+00:00,22.6,7.09
2.5,-78.0,2024-10-11 00:00:00+00:00,24.8,0.2
2.5,-78.0,2024-10-11 12:00:00+00:00,23.1,0.23
2.5,-78.0,2024-10-12 00:00:00+00:00,24.2,1.58
2.5,-78.0,2024-10-12 12:00:00+00:00,23.1,7.5
2.5,-78.0,2024-10-13 00:00:00+00:00,25.0,0.21
2.5,-78.0,2024-10-13 12:00:00+00:00,23.7,0.54
2.5,-78.0,2024-10-14 00:00:00+00:00,24.9,0.19
2.5,-78.0,2024-10-14 12:00:00+00:00,23.1,0.44
2.5,-78.0,2024-10-15 00:00:00+00:00,24.5,0.48
2.5,-77.5,2024-10-05 00:00:00+00:00,23.2,10.7
2.5,-77.5,2024-10-05 12:00:00+00:00,23.2,0.1
2.5,-77.5,2024-10-06 00:00:00+00:00,22.9,3.48
2.5,-77.5,2024-10-06 12:00:00+00:00,22.8,0.47
2.5,-77.5,2024-10-07 00:00:00+00:00,23.1,0.35
2.5,-77.5,2024-10-07 12:00:00+00:00,22.4,0.0
2.5,-77.5,2024-10-08 00:00:00+00:00,22.5,5.75
2.5,-77.5,2024-10-08 12:00:00+00:00,22.4,5.51
2.5,-77.5,2024-10-09 00:00:00+00:00,22.8,0.66
2.5,-77.5,2024-10-09 12:00:00+00:00,22.2,0.0
2.5,-77.5,2024-10-10 00:00:00+00:00,23.1,3.0
2.5,-77.5,2024-10-10 12:00:00+00:00,22.1,1.7
2.5,-77.5,2024-10-11 00:00:00+00:00,23.3,0.42
2.5,-77.5,2024-10-11 12:00:00+00:00,22.1,0.43
2.5,-77.5,2024-10-12 00:00:00+00:00,23.2,1.06
2.5,-77.5,2024-10-12 12:00:00+00:00,22.3,0.72
2.5,-77.5,2024-10-13 00:00:00+00:00,23.5,1.6
2.5,-77.5,2024-10-13 12:00:00+00:00,22.9,0.2
2.5,-77.5,2024-10-14 00:00:00+00:00,22.9,1.37
2.5,-77.5,2024-10-14 12:00:00+00:00,22.7,1.12
2.5,-77.5,2024-10-15 00:00:00+00:00,23.3,3.83
2.5,-77.0,2024-10-05 00:00:00+00:00,15.5,0.8
2.5,-77.0,2024-10-05 12:00:00+00:00,15.5,0.0
2.5,-77.0,2024-10-06 00:00:00+00:00,15.5,0.84
2.5,-77.0,2024-10-06 12:00:00+00:00,15.7,0.0
2.5,-77.0,2024-10-07 00:00:00+00:00,15.2,0.0
2.5,-77.0,2024-10-07 12:00:00+00:00,15.4,0.0
2.5,-77.0,2024-10-08 00:00:00+00:00,15.2,1.26
2.5,-77.0,2024-10-08 12:00:00+00:00,14.8,3.75
2.5,-77.0,2024-10-09 00:00:00+00:00,15.1,0.58
2.5,-77.0,2024-10-09 12:00:00+00:00,15.0,1.8
